x,y
0.000000000000000000e+00,0.000000000000000000e+00
7.071067811865475172e-02,7.022017811865474690e-02
1.414213562373095034e-01,1.394593562373095119e-01
2.121320343559642552e-01,2.077175343559642673e-01
2.828427124746190069e-01,2.749947124746189853e-01
3.535533905932737864e-01,3.412908905932737769e-01
4.242640687119285103e-01,4.066060687119285033e-01
4.949747468305833453e-01,4.709402468305833311e-01
5.656854249492380138e-01,5.342934249492380383e-01
6.363961030678927377e-01,5.966656030678927358e-01
7.071067811865475727e-01,6.580567811865475347e-01
7.778174593052022967e-01,7.184669593052023240e-01
8.485281374238570207e-01,7.778961374238569926e-01
9.192388155425118557e-01,8.363443155425118736e-01
9.899494936611666907e-01,8.938114936611666339e-01
1.060660171779821193e+00,9.502976717798211626e-01
1.131370849898476028e+00,1.005802849898476126e+00
1.202081528017130863e+00,1.060327028017130857e+00
1.272792206135785475e+00,1.113870206135785468e+00
1.343502884254440310e+00,1.166432384254440180e+00
1.414213562373095145e+00,1.218013562373095215e+00
1.484924240491749758e+00,1.268613740491749686e+00
1.555634918610404593e+00,1.318232918610404703e+00
1.626345596729059428e+00,1.366871096729059376e+00
1.697056274847714041e+00,1.414528274847714151e+00
1.767766952966368876e+00,1.461204452966368805e+00
1.838477631085023711e+00,1.506899631085023561e+00
1.909188309203678546e+00,1.551613809203678418e+00
1.979898987322333381e+00,1.595346987322333376e+00
2.050609665440987772e+00,1.638099165440987770e+00
2.121320343559642385e+00,1.679870343559642265e+00
2.192031021678297442e+00,1.720660521678297528e+00
2.262741699796952055e+00,1.760469699796952003e+00
2.333452377915607112e+00,1.799297877915607025e+00
2.404163056034261725e+00,1.837145056034261703e+00
2.474873734152916782e+00,1.874011234152916483e+00
2.545584412271570951e+00,1.909896412271570920e+00
2.616295090390226008e+00,1.944800590390225903e+00
2.687005768508880621e+00,1.978723768508880543e+00
2.757716446627535678e+00,2.011665946627535728e+00
2.828427124746190291e+00,2.043627124746190127e+00
2.899137802864845348e+00,2.074607302864845071e+00
2.969848480983499517e+00,2.104606480983499672e+00
3.040559159102154574e+00,2.133624659102154375e+00
3.111269837220809187e+00,2.161661837220809179e+00
3.181980515339464244e+00,2.188718015339464085e+00
3.252691193458118857e+00,2.214793193458118647e+00
3.323401871576773470e+00,2.239887371576773312e+00
3.394112549695428083e+00,2.264000549695428077e+00
3.464823227814083140e+00,2.287132727814083388e+00
3.535533905932737753e+00,2.309283905932737468e+00
3.606244584051392366e+00,2.330454084051392094e+00
3.676955262170047423e+00,2.350643262170047265e+00
3.747665940288702036e+00,2.369851440288702094e+00
3.818376618407357093e+00,2.388078618407356579e+00
3.889087296526011706e+00,2.405324796526011610e+00
3.959797974644666763e+00,2.421589974644666299e+00
4.030508652763321820e+00,2.436874152763321533e+00
4.101219330881975544e+00,2.451177330881975536e+00
4.171930009000630157e+00,2.464499509000630084e+00
4.242640687119284770e+00,2.476840687119284734e+00
4.313351365237940271e+00,2.488200865237939929e+00
4.384062043356594884e+00,2.498580043356594782e+00
4.454772721475249497e+00,2.507978221475249292e+00
4.525483399593904110e+00,2.516395399593903903e+00
4.596194077712559611e+00,2.523831577712559504e+00
4.666904755831214224e+00,2.530286755831213874e+00
4.737615433949868837e+00,2.535760933949868345e+00
4.808326112068523450e+00,2.540254112068522918e+00
4.879036790187178063e+00,2.543766290187177592e+00
4.949747468305833564e+00,2.546297468305832812e+00
5.020458146424487289e+00,2.547847646424487245e+00
5.091168824543141902e+00,2.548416824543141779e+00
5.161879502661797403e+00,2.548005002661797747e+00
5.232590180780452016e+00,2.546612180780452039e+00
5.303300858899106629e+00,2.544238358899106434e+00
5.374011537017761242e+00,2.540883537017760929e+00
5.444722215136415855e+00,2.536547715136415970e+00
5.515432893255071356e+00,2.531230893255071113e+00
5.586143571373725969e+00,2.524933071373725468e+00
5.656854249492380582e+00,2.517654249492379925e+00
5.727564927611035195e+00,2.509394427611034484e+00
5.798275605729690696e+00,2.500153605729690032e+00
5.868986283848345309e+00,2.489931783848344793e+00
5.939696961966999034e+00,2.478728961966999211e+00
6.010407640085653647e+00,2.466545140085653731e+00
6.081118318204309148e+00,2.453380318204309241e+00
6.151828996322963761e+00,2.439234496322963519e+00
6.222539674441618374e+00,2.424107674441618343e+00
6.293250352560272987e+00,2.407999852560272824e+00
6.363961030678928488e+00,2.390911030678927851e+00
6.434671708797583101e+00,2.372841208797582979e+00
6.505382386916237714e+00,2.353790386916236876e+00
6.576093065034892327e+00,2.333758565034891319e+00
6.646803743153546939e+00,2.312745743153546307e+00
6.717514421272202441e+00,2.290751921272201841e+00
6.788225099390856165e+00,2.267777099390856144e+00
6.858935777509510778e+00,2.243821277509510992e+00
6.929646455628166279e+00,2.218884455628166386e+00
7.000357133746820892e+00,2.192966633746820548e+00
7.071067811865475505e+00,2.166067811865475257e+00
7.141778489984130118e+00,2.138187989984129622e+00
7.212489168102784731e+00,2.109327168102784533e+00
7.283199846221440232e+00,2.079485346221439990e+00
7.353910524340094845e+00,2.048662524340094215e+00
7.424621202458749458e+00,2.016858702458748986e+00
7.495331880577404071e+00,1.984073880577403415e+00
7.566042558696059572e+00,1.950308058696059277e+00
7.636753236814714185e+00,1.915561236814713020e+00
7.707463914933368798e+00,1.879833414933367308e+00
7.778174593052023411e+00,1.843124593052022142e+00
7.848885271170678912e+00,1.805434771170677521e+00
7.919595949289333525e+00,1.766763949289332558e+00
7.990306627407988138e+00,1.727112127407986364e+00
8.061017305526643639e+00,1.686479305526641603e+00
8.131727983645298252e+00,1.644865483645296500e+00
8.202438661763951089e+00,1.602270661763951054e+00
8.273149339882605702e+00,1.558694839882606153e+00
8.343860018001260315e+00,1.514138018001260910e+00
8.414570696119914928e+00,1.468600196119915324e+00
8.485281374238569541e+00,1.422081374238569396e+00
8.555992052357225930e+00,1.374581552357225789e+00
8.626702730475880543e+00,1.326100730475880063e+00
8.697413408594535156e+00,1.276638908594534882e+00
8.768124086713189769e+00,1.226196086713189359e+00
8.838834764831844382e+00,1.174772264831844382e+00
8.909545442950498995e+00,1.122367442950498173e+00
8.980256121069153608e+00,1.068981621069153398e+00
9.050966799187808220e+00,1.014614799187807392e+00
9.121677477306462833e+00,9.592669773064610439e-01
9.192388155425119223e+00,9.029381554251187936e-01
9.263098833543773836e+00,8.456283335437717597e-01
9.333809511662428449e+00,7.873375116624270476e-01
9.404520189781083062e+00,7.280656897810811046e-01
9.475230867899737675e+00,6.678128678997357071e-01
9.545941546018392287e+00,6.065790460183908550e-01
9.616652224137046900e+00,5.443642241370447721e-01
9.687362902255701513e+00,4.811684022556992346e-01
9.758073580374356126e+00,4.169915803743542426e-01
9.828784258493012516e+00,3.518337584930097961e-01
9.899494936611667129e+00,2.856949366116641187e-01
9.970205614730319965e+00,2.185751147303207631e-01
1.004091629284897458e+01,1.504742928489744003e-01
1.011162697096762919e+01,8.139247096763035927e-02
1.018233764908628380e+01,1.132964908628331102e-02
